1	999909	1930-1939	0	1
2	4493	1930-1939	0	1
3	4517	1930-1939	0	1
4	4501	1930-1939	1	0
5	999903	1940-1949	0	5
6	9369	1940-1949	2	0
7	9057	1940-1949	0	1
8	9059	1940-1949	0	1
9	10510	1940-1949	1	0
10	9422	1940-1949	0	1
11	9461	1940-1949	0	1
12	10146	1940-1949	1	0
13	17437	1940-1949	0	1
14	12871	1940-1949	0	1
15	10859	1940-1949	0	1
16	17496	1940-1949	0	1
17	14820	1940-1949	1	0
18	13568	1940-1949	0	1
19	12816	1940-1949	0	1
20	9461	1940-1949	0	1
21	10146	1940-1949	1	0
22	10146	1940-1949	1	0
23	999904	1940-1949	0	1
24	644	1940-1949	0	1
25	9930	1940-1949	0	1
26	588	1940-1949	0	1
27	644	1940-1949	0	1
28	13757	1940-1949	0	1
29	19789	1940-1949	1	0
30	9861	1940-1949	0	1
31	644	1940-1949	0	1
32	13757	1940-1949	0	1
33	19789	1940-1949	1	0
34	11603	1940-1949	0	1
35	999906	1940-1949	0	3
36	4989	1940-1949	0	1
37	11579	1940-1949	0	1
38	11603	1940-1949	0	1
39	12677	1940-1949	0	1
40	10146	1940-1949	1	0
41	4191	1940-1949	0	2
42	1525	1940-1949	0	1
43	11570	1940-1949	1	0
44	11603	1940-1949	0	1
45	11613	1940-1949	1	0
46	999907	1940-1949	0	1
47	55687	1940-1949	0	1
48	9424	1940-1949	0	1
49	52778	1940-1949	0	1
50	12677	1940-1949	0	1
51	10146	1940-1949	1	0
52	999908	1940-1949	0	14
53	10811	1940-1949	0	5
54	1690	1940-1949	0	1
55	715	1940-1949	1	0
56	11603	1940-1949	0	1
57	10825	1940-1949	2	0
58	12586	1940-1949	0	3
59	12106	1940-1949	0	3
60	35843	1940-1949	3	0
61	6281	1940-1949	0	9
62	8511	1940-1949	2	6
63	13040	1940-1949	0	3
64	11315	1940-1949	0	1
65	9787	1940-1949	1	0
66	11570	1940-1949	1	0
67	11634	1940-1949	1	0
68	13043	1940-1949	0	3
69	13502	1940-1949	1	0
70	9774	1940-1949	1	0
71	10036	1940-1949	1	0
72	10604	1940-1949	1	0
73	999909	1940-1949	0	136
74	4493	1940-1949	0	136
75	4505	1940-1949	0	1
76	6266	1940-1949	1	0
77	12574	1940-1949	0	2
78	13334	1940-1949	0	1
79	4517	1940-1949	0	136
80	4500	1940-1949	0	3
81	4503	1940-1949	3	0
82	4501	1940-1949	126	10
83	4503	1940-1949	3	0
84	7396	1940-1949	7	0
85	12574	1940-1949	0	2
86	12576	1940-1949	0	2
87	12577	1940-1949	2	0
88	13334	1940-1949	0	1
89	13336	1940-1949	0	1
90	13337	1940-1949	1	0
91	999910	1940-1949	0	2
92	13676	1940-1949	0	2
93	13672	1940-1949	0	2
94	18961	1940-1949	0	2
95	1296	1940-1949	0	2
96	9040	1940-1949	2	0
97	999911	1940-1949	0	2
98	6809	1940-1949	0	2
99	4989	1940-1949	0	1
100	26690	1940-1949	0	1
101	4995	1940-1949	0	1
102	26690	1940-1949	0	1
103	4992	1940-1949	1	0
104	6664	1940-1949	1	0
105	8091	1940-1949	0	1
106	1680	1940-1949	1	0
107	4989	1940-1949	0	1
108	999912	1940-1949	0	2
109	7254	1940-1949	0	2
110	3146	1940-1949	0	2
111	8402	1940-1949	0	2
112	9040	1940-1949	2	0
113	13664	1940-1949	0	2
114	1296	1940-1949	0	2
115	9040	1940-1949	2	0
116	999913	1940-1949	0	2
117	9272	1940-1949	0	2
118	9274	1940-1949	0	1
119	6282	1940-1949	0	1
120	10820	1940-1949	1	0
121	13334	1940-1949	0	1
122	13336	1940-1949	0	1
123	13337	1940-1949	1	0
124	999914	1940-1949	0	7
